geo_point,geo_shape,grid_code,source,to_node,arcid,from_node,route_length_m
"-37.80744526618136, 144.9186579395908","{""coordinates"": [[[144.91865806605, -37.807440762564404], [144.91865781313155, -37.80744976979832]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2805,3109,2800,1.0
"-37.80746289044259, 144.91889029092377","{""coordinates"": [[[144.9188846145644, -37.80746279012111], [144.91889596728313, -37.807462990764066]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2818,3127,2817,0.9999999973806553
"-37.807516954459714, 144.91939989923827","{""coordinates"": [[[144.9193942228729, -37.807516854162664], [144.9194055756036, -37.807517054756765]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2866,3197,2865,0.9999999998835847
"-37.80752115718644, 144.91938274372677","{""coordinates"": [[[144.9193828701423, -37.807516653567475], [144.91938261731121, -37.80752566080541]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2869,3201,2864,0.9999999990686774
"-37.80803374920766, 144.94963299232862","{""coordinates"": [[[144.94967359998583, -37.80800291516553], [144.9495923846714, -37.80806458324979]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2884,3224,2821,9.89949493685862
"-37.80821279661132, 144.9596391178576","{""coordinates"": [[[144.95956286806995, -37.80814765626814], [144.95968502497644, -37.80824890231168], [144.95970673947926, -37.80828532560138]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2891,3231,2796,20.02848514052848
"-37.80780412297653, 144.9337822882188","{""coordinates"": [[[144.93324589366037, -37.80771572950584], [144.93333445630375, -37.807798389410905], [144.93344773392437, -37.80780938919879], [144.9335479009108, -37.80788324087529], [144.93359331246592, -37.80788403779568], [144.93369423299052, -37.807930867397744], [144.93371693878453, -37.80793126583235], [144.93373914239686, -37.807949678901025], [144.93381811053695, -37.80796908801258], [144.9338403141862, -37.80798750106314], [144.93389682764825, -37.807997504392354], [144.93392003560473, -37.80797988814814], [144.9339210398817, -37.807943858867226], [144.93385442894242, -37.80788861974848], [144.93384433143947, -37.80784338394549], [144.93379992423297, -37.8078065578436], [144.93377972932285, -37.80771608622885], [144.93379133327022, -37.80770727811762], [144.9339162147739, -37.80770946933993], [144.93402723288253, -37.80780153445699], [144.9340499386417, -37.80780193282626], [144.93407314649974, -37.80778431654845], [144.93408143105938, -37.807487074935075]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2709,3247,2830,169.11707617562894
"-37.807701136667646, 144.92136228420532","{""coordinates"": [[[144.92130626840304, -37.807784927514184], [144.92131913677744, -37.80773108443325], [144.9213769110283, -37.807696057473855], [144.92140037433592, -37.80766943653267], [144.9213892741562, -37.80766022888093], [144.92141223227625, -37.80765162243543], [144.92141299003305, -37.80762460068728]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2893,3249,2907,22.741719580890173
"-37.8078315727612, 144.92442986918687","{""coordinates"": [[[144.92437177681254, -37.80782999152869], [144.92447395214734, -37.80783179253164], [144.92448505274868, -37.80784099990425]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2910,3252,2905,10.414213560887942
"-37.807853389203764, 144.92464506830746","{""coordinates"": [[[144.92458697590408, -37.807851808076606], [144.9246891512829, -37.80785360889378], [144.92470025191508, -37.80786281624695]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2914,3258,2912,10.414213564239876
"-37.80792175901696, 144.92523244798537","{""coordinates"": [[[144.92523257404744, -37.807917255381575], [144.92523232192326, -37.80792626265235]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2929,3279,2928,1.0
"-37.80793266656019, 144.92534004780873","{""coordinates"": [[[144.92534585028295, -37.80792826293626], [144.92533424533454, -37.80793707018413]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2932,3284,2930,1.4142135637725022
"-37.80795734456588, 144.9254970511337","{""coordinates"": [[[144.92544752161984, -37.80794807764228], [144.9254586223632, -37.80795728492698], [144.92554944510107, -37.80795888498948]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2938,3289,2936,9.41421356207207
"-37.807951618097476, 144.92561344399994","{""coordinates"": [[[144.92556105002842, -37.80795007771977], [144.92565187276335, -37.80795167770305], [144.92566297353355, -37.80796088496923]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2939,3291,2937,9.414213565137812
"-37.80798427967344, 144.92593626607106","{""coordinates"": [[[144.92587817349371, -37.80798269917836], [144.92598034913655, -37.80798449888089], [144.92599144995367, -37.80799370611737]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2948,3305,2945,10.414213562675124
"-37.80799810977407, 144.92598564751106","{""coordinates"": [[[144.92599144995367, -37.80799370611737], [144.92597984506844, -37.808002513430765]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2949,3309,2948,1.4142135632374346
"-37.80800891665954, 144.926087571161","{""coordinates"": [[[144.92609337359866, -37.80800451299768], [144.92608176872332, -37.8080133203214]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2952,3312,2950,1.4142135610971651
"-37.80804456002747, 144.92635215296957","{""coordinates"": [[[144.92629696899408, -37.80803513377276], [144.92630806985926, -37.8080443409807], [144.92641024561485, -37.80804614031284]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2960,3322,2958,10.414213563385523
"-37.808066213314596, 144.9265616991381","{""coordinates"": [[[144.92651216940956, -37.80805694683433], [144.92652327030558, -37.80806615402282], [144.92661409323807, -37.8080677532684]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2966,3328,2965,9.414213563223312
"-37.80808233837979, 144.92689899137793","{""coordinates"": [[[144.92684089867052, -37.808080758356], [144.92694307451077, -37.80808255722745], [144.92695417546594, -37.808091764376954]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2971,3335,2968,10.414213565150725
"-37.80812080376072, 144.92709967877818","{""coordinates"": [[[144.92704449464316, -37.80811137785293], [144.9270555956155, -37.80812058499332], [144.92715777152452, -37.80812238368016]]], ""type"": ""MultiLineString""}",2,2008 DEM to stream order using ESRI Spatial Analy*,2977,3342,2974,10.414213564093501
"-37.808117979963704, 144.92716357390955","{""coordinates"": [[[144.9271693762946, -37.80811357624725], [144.92715777152452, -37.80812238368016]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2977,3343,2975,1.4142135629904806
"-37.80812878583887, 144.9272654979429","{""coordinates"": [[[144.92727130032299, -37.80812438211724], [144.9272596955628, -37.80813318956049]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2979,3346,2978,1.4142135612618012
"-37.808193219691795, 144.92785433706152","{""coordinates"": [[[144.92786013941318, -37.808188815940305], [144.92784853470985, -37.80819762344327]]], ""type"": ""MultiLineString""}",1,2008 DEM to stream order using ESRI Spatial Analy*,2995,3369,2994,1.4142135629081625
