_id,geo_point_2d,geo_shape,built,dnstr_pit,upstr_inv,upstr_pit,ref,width_mm,condition,carrying,operator,diameter,material,height_mm,form,mat_desc,dnstr_inv
6987,"-37.78782980779046, 144.9419174260232","{""coordinates"": [[144.94173652882588, -37.78797336762383], [144.94209832322045, -37.78768624795709]], ""type"": ""LineString""}",2015-01-28,,,,1580274,0,4.99155134729725,Stormwater,City of Melbourne,375,Concrete,0,Pipe,,
6988,"-37.787668397116434, 144.94212040385406","{""coordinates"": [[144.9421424844877, -37.787650546275785], [144.94209832322045, -37.78768624795709]], ""type"": ""LineString""}",2013-09-10,,,,1580275,0,5.0,Stormwater,City of Melbourne,375,Plastic,0,Pipe,,
6989,"-37.787660015446654, 144.94239290975005","{""coordinates"": [[144.94249151227407, -37.787708743085325], [144.94244167577517, -37.78770096762205], [144.9423019828174, -37.78759340662764]], ""type"": ""LineString""}",2015-01-28,,,,1580277,0,4.99080587666162,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6990,"-37.78768328062652, 144.9421753653649","{""coordinates"": [[144.94216903252774, -37.78768810887289], [144.94218169820206, -37.78767845238014]], ""type"": ""LineString""}",2013-09-10,,,,1580279,0,5.0,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6991,"-37.787784242091135, 144.94250475866806","{""coordinates"": [[144.94256794614134, -37.7878225226467], [144.9424415711948, -37.78774596153557]], ""type"": ""LineString""}",2015-01-28,,,,1580253,0,4.99080588759548,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6992,"-37.83547194360992, 144.98407106583423","{""coordinates"": [[144.98406510116956, -37.83547122596915], [144.9840770304989, -37.83547266125068]], ""type"": ""LineString""}",2015-01-01,,,,1580267,0,4.98906654044205,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6993,"-37.8354379729343, 144.98382253200387","{""coordinates"": [[144.98406510116956, -37.83547122596915], [144.9836204218866, -37.83540941289906], [144.9836167114085, -37.83540909882051], [144.98361298026205, -37.83540904302532], [144.9836092580012, -37.83540924511848], [144.9836055719328, -37.83540970376535], [144.9836019494374, -37.83541041492904], [144.98359842016703, -37.83541137461152], [144.9835950093533, -37.83541257423322], [144.9835917422279, -37.835414005214545], [144.98358864636754, -37.83541565631257], [144.9835857425591, -37.835417515266855], [144.98358305507008, -37.83541956717311], [144.9835821882867, -37.835420311116955]], ""type"": ""LineString""}",2015-01-01,,,,1580268,0,4.98906654002332,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6994,"-37.83544830865779, 144.98357625811582","{""coordinates"": [[144.9835703279449, -37.83547630619863], [144.9835821882867, -37.835420311116955]], ""type"": ""LineString""}",2015-01-01,,,,1580269,0,4.98906653959294,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6995,"-37.83573191225696, 144.9835002830018","{""coordinates"": [[144.98350854993848, -37.83573283292509], [144.98349201606513, -37.83573099158883]], ""type"": ""LineString""}",2015-01-01,,,,1580273,0,4.98906653785981,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6996,"-37.835462949640565, 144.9833421751623","{""coordinates"": [[144.98352995193088, -37.83549414911257], [144.9831543983937, -37.83543175016856]], ""type"": ""LineString""}",2015-01-28,1150673,,1151692,1135681,0,4.99069882530081,Stormwater,City of Melbourne,300,Earthenware,0,Pipe,Unknown,
6997,"-37.812249929981306, 144.96454042709354","{""coordinates"": [[144.9644903774594, -37.812139935514665], [144.96459047672766, -37.81235992444794]], ""type"": ""LineString""}",2014-08-11,1141096,,1151722,1135764,0,4.97985681445849,Stormwater,City of Melbourne,300,Concrete,0,Pipe,,
6998,"-37.790136830568585, 144.93038854508853","{""coordinates"": [[144.93040760200358, -37.79021135419192], [144.93036948817345, -37.790062306945245]], ""type"": ""LineString""}",1899-12-31,,820,,1451555,0,2.28316873914428,Stormwater,City of Melbourne,225,Concrete,0,Pipe,,1090
