sa2_5digitcode_2011,sa2_name_2011,sa3_name_2011,sa4_name_2011,gccsa_name_2011
21278,Lilydale - Coldstream,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21279,Monbulk - Silvan,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21280,Montrose,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21281,Mooroolbark,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21282,Mount Dandenong - Olinda,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21283,Mount Evelyn,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21284,Upwey - Tecoma,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21285,Wandin - Seville,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21286,Yarra Valley,Yarra Ranges,Melbourne - Outer East,Greater Melbourne
21287,Beaconsfield - Officer,Cardinia,Melbourne - South East,Greater Melbourne
21288,Bunyip - Garfield,Cardinia,Melbourne - South East,Greater Melbourne
21289,Emerald - Cockatoo,Cardinia,Melbourne - South East,Greater Melbourne
21290,Koo Wee Rup,Cardinia,Melbourne - South East,Greater Melbourne
21291,Pakenham - North,Cardinia,Melbourne - South East,Greater Melbourne
21292,Pakenham - South,Cardinia,Melbourne - South East,Greater Melbourne
21293,Berwick - North,Casey - North,Melbourne - South East,Greater Melbourne
21294,Berwick - South,Casey - North,Melbourne - South East,Greater Melbourne
21295,Doveton,Casey - North,Melbourne - South East,Greater Melbourne
21296,Endeavour Hills,Casey - North,Melbourne - South East,Greater Melbourne
21297,Hallam,Casey - North,Melbourne - South East,Greater Melbourne
21298,Narre Warren,Casey - North,Melbourne - South East,Greater Melbourne
21299,Narre Warren North,Casey - North,Melbourne - South East,Greater Melbourne
21300,Cranbourne,Casey - South,Melbourne - South East,Greater Melbourne
21301,Cranbourne East,Casey - South,Melbourne - South East,Greater Melbourne
21302,Cranbourne North,Casey - South,Melbourne - South East,Greater Melbourne
21303,Cranbourne South,Casey - South,Melbourne - South East,Greater Melbourne
21304,Cranbourne West,Casey - South,Melbourne - South East,Greater Melbourne
21305,Hampton Park - Lynbrook,Casey - South,Melbourne - South East,Greater Melbourne
21306,Lynbrook - Lyndhurst,Casey - South,Melbourne - South East,Greater Melbourne
21307,Narre Warren South,Casey - South,Melbourne - South East,Greater Melbourne
21308,Pearcedale - Tooradin,Casey - South,Melbourne - South East,Greater Melbourne
21309,Clarinda - Oakleigh South,Dandenong,Melbourne - South East,Greater Melbourne
21310,Clayton South,Dandenong,Melbourne - South East,Greater Melbourne
21311,Dandenong,Dandenong,Melbourne - South East,Greater Melbourne
21312,Dandenong North,Dandenong,Melbourne - South East,Greater Melbourne
21313,Dingley Village,Dandenong,Melbourne - South East,Greater Melbourne
21314,Keysborough,Dandenong,Melbourne - South East,Greater Melbourne
21315,Noble Park,Dandenong,Melbourne - South East,Greater Melbourne
21316,Noble Park North,Dandenong,Melbourne - South East,Greater Melbourne
21317,Springvale,Dandenong,Melbourne - South East,Greater Melbourne
21318,Springvale South,Dandenong,Melbourne - South East,Greater Melbourne
21319,Ashwood - Chadstone,Monash,Melbourne - South East,Greater Melbourne
21320,Clayton,Monash,Melbourne - South East,Greater Melbourne
21321,Glen Waverley - East,Monash,Melbourne - South East,Greater Melbourne
21322,Glen Waverley - West,Monash,Melbourne - South East,Greater Melbourne
21323,Mount Waverley - North,Monash,Melbourne - South East,Greater Melbourne
21324,Mount Waverley - South,Monash,Melbourne - South East,Greater Melbourne
21325,Mulgrave,Monash,Melbourne - South East,Greater Melbourne
21326,Oakleigh - Huntingdale,Monash,Melbourne - South East,Greater Melbourne
21327,Wheelers Hill,Monash,Melbourne - South East,Greater Melbourne
21328,Ardeer - Albion,Brimbank,Melbourne - West,Greater Melbourne
21329,Cairnlea,Brimbank,Melbourne - West,Greater Melbourne
21330,Deer Park - Derrimut,Brimbank,Melbourne - West,Greater Melbourne
21331,Delahey,Brimbank,Melbourne - West,Greater Melbourne
21332,Keilor Downs,Brimbank,Melbourne - West,Greater Melbourne
21333,Kings Park (Vic.),Brimbank,Melbourne - West,Greater Melbourne
21334,St Albans - North,Brimbank,Melbourne - West,Greater Melbourne
21335,St Albans - South,Brimbank,Melbourne - West,Greater Melbourne
21336,Sunshine,Brimbank,Melbourne - West,Greater Melbourne
21337,Sunshine North,Brimbank,Melbourne - West,Greater Melbourne
21338,Sunshine West,Brimbank,Melbourne - West,Greater Melbourne
21339,Sydenham,Brimbank,Melbourne - West,Greater Melbourne
21340,Taylors Lakes,Brimbank,Melbourne - West,Greater Melbourne
21341,Altona,Hobsons Bay,Melbourne - West,Greater Melbourne
21342,Altona Meadows,Hobsons Bay,Melbourne - West,Greater Melbourne
21343,Altona North,Hobsons Bay,Melbourne - West,Greater Melbourne
21344,Newport,Hobsons Bay,Melbourne - West,Greater Melbourne
21345,Seabrook,Hobsons Bay,Melbourne - West,Greater Melbourne
21346,Williamstown,Hobsons Bay,Melbourne - West,Greater Melbourne
21347,Braybrook,Maribyrnong,Melbourne - West,Greater Melbourne
21348,Footscray,Maribyrnong,Melbourne - West,Greater Melbourne
21349,Maribyrnong,Maribyrnong,Melbourne - West,Greater Melbourne
21350,Seddon - Kingsville,Maribyrnong,Melbourne - West,Greater Melbourne
21351,West Footscray - Tottenham,Maribyrnong,Melbourne - West,Greater Melbourne
21352,Yarraville,Maribyrnong,Melbourne - West,Greater Melbourne
21353,Bacchus Marsh,Melton - Bacchus Marsh,Melbourne - West,Greater Melbourne
21354,Caroline Springs,Melton - Bacchus Marsh,Melbourne - West,Greater Melbourne
21355,Hillside,Melton - Bacchus Marsh,Melbourne - West,Greater Melbourne
21356,Melton,Melton - Bacchus Marsh,Melbourne - West,Greater Melbourne
21357,Melton South,Melton - Bacchus Marsh,Melbourne - West,Greater Melbourne
21358,Melton West,Melton - Bacchus Marsh,Melbourne - West,Greater Melbourne
21359,Rockbank - Mount Cottrell,Melton - Bacchus Marsh,Melbourne - West,Greater Melbourne
21360,Taylors Hill,Melton - Bacchus Marsh,Melbourne - West,Greater Melbourne
21361,Hoppers Crossing - North,Wyndham,Melbourne - West,Greater Melbourne
21362,Hoppers Crossing - South,Wyndham,Melbourne - West,Greater Melbourne
21363,Laverton,Wyndham,Melbourne - West,Greater Melbourne
21364,Point Cook,Wyndham,Melbourne - West,Greater Melbourne
21365,Tarneit,Wyndham,Melbourne - West,Greater Melbourne
21366,Truganina,Wyndham,Melbourne - West,Greater Melbourne
21367,Werribee,Wyndham,Melbourne - West,Greater Melbourne
21368,Werribee - South,Wyndham,Melbourne - West,Greater Melbourne
21369,Wyndham Vale,Wyndham,Melbourne - West,Greater Melbourne
21370,Carrum Downs,Frankston,Mornington Peninsula,Greater Melbourne
21371,Frankston,Frankston,Mornington Peninsula,Greater Melbourne
