geo_point_2d,lat,lon,geo_shape,built,dnstr_pit,upstr_inv,upstr_pit,ref,width_mm,condition,operator,diameter,material,height_mm,mat_desc,dnstr_inv,connection_status,pipe_length_m,pipe_age_yr
"-37.806528132001446, 144.96149586621465",-37.806528132001446,144.96149586621465,"{""coordinates"": [[144.96152555489996, -37.80649519923068], [144.96146617752936, -37.80656106477222]], ""type"": ""LineString""}",1890-01-01,1150464,NA,1150463,1131864,0,2.04797454068026,City of Melbourne,1000,Brick,0,Brick Barrel,NA,Both connections recorded,8.988138586915195,136
"-37.789348820271684, 144.92520822759488",-37.789348820271684,144.92520822759488,"{""coordinates"": [[144.92526698724387, -37.78931859102029], [144.9251494679459, -37.789379049523085]], ""type"": ""LineString""}",1900-01-01,1363897,NA,1363896,1451551,0,2.28323316082614,City of Melbourne,300,Concrete,0,NA,NA,Both connections recorded,12.336240543170266,126
"-37.81292211074786, 144.96398767591666",-37.81292211074786,144.96398767591666,"{""coordinates"": [[144.96400447227933, -37.81291692247492], [144.963970879554, -37.812927299020814]], ""type"": ""LineString""}",1897-01-01,1141107,NA,1141108,1135784,0,2.17951270664295,City of Melbourne,225,Earthenware,0,Earthenware,NA,Both connections recorded,3.1743184894492837,129
"-37.79666316795131, 144.92314635642134",-37.79666316795131,144.92314635642134,"{""coordinates"": [[144.92314050356376, -37.7966567880655], [144.9231522092789, -37.796669547837126]], ""type"": ""LineString""}",1965-01-01,1151796,NA,1145346,1136007,1200,3.81263039623061,City of Melbourne,NA,Concrete,375,Unknown,NA,Both connections recorded,1.7517548889163714,61
"-37.78459900731093, 144.96024100576312",-37.78459900731093,144.96024100576312,"{""coordinates"": [[144.960159999734, -37.78463000225072], [144.96032201179227, -37.784568012371146]], ""type"": ""LineString""}",NA,1452506,NA,1452507,1453064,0,3,City of Melbourne,100,Plastic,0,NA,NA,Both connections recorded,15.843419796815754,NA
"-37.83372247067777, 144.9737762402466",-37.83372247067777,144.9737762402466,"{""coordinates"": [[144.97378674649727, -37.833724466467096], [144.97376573399595, -37.83372047488845]], ""type"": ""LineString""}",1997-01-01,1151144,NA,1142674,1136427,750,4.56557142740518,City of Melbourne,NA,Concrete,450,Box Culvert,NA,Both connections recorded,1.902056201105756,29
"-37.82543986124165, 144.94576553389277",-37.82543986124165,144.94576553389277,"{""coordinates"": [[144.94581198996403, -37.82544163290218], [144.94571907782148, -37.82543808958111]], ""type"": ""LineString""}",2001-01-01,1152055,NA,1145494,1136401,0,NA,4,300,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,8.189456951274812,25
"-37.77992385679078, 144.94146331179246",-37.77992385679078,144.94146331179246,"{""coordinates"": [[144.9414987471567, -37.77973514730746], [144.9414278764282, -37.7801125662741]], ""type"": ""LineString""}",2005-01-01,1153091,NA,1153090,1138640,0,4.77855564814093,City of Melbourne,675,Concrete,0,RCP 600 Diameter and above,NA,Both connections recorded,42.353296112767445,21
"-37.82180746313064, 144.950576063966",-37.82180746313064,144.950576063966,"{""coordinates"": [[144.95056916118855, -37.82179808162238], [144.95058296674344, -37.821816844638896]], ""type"": ""LineString""}",2005-01-01,1153796,0.5,1153795,1139370,0,4.77376738083239,City of Melbourne,600,Concrete,0,RCP 600 Diameter and above,0.48,Both connections recorded,2.411333487182957,21
"-37.81091494372022, 144.97194467137086",-37.81091494372022,144.97194467137086,"{""coordinates"": [[144.97195682554272, -37.810943957840394], [144.971932517199, -37.81088592960005]], ""type"": ""LineString""}",1996-01-01,1140766,NA,1152687,1136603,0,4.54199363191054,City of Melbourne,300,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,6.787104468345485,30
"-37.793446617095555, 144.92697970121685",-37.793446617095555,144.92697970121685,"{""coordinates"": [[144.92701888698997, -37.793489457004995], [144.92694051544376, -37.793403777186114]], ""type"": ""LineString""}",1940-01-01,1145418,NA,1145419,1137478,0,3.20320747240345,City of Melbourne,300,Earthenware,0,Unknown,NA,Both connections recorded,11.75099046428913,86
"-37.82304203735582, 144.97888733994435",-37.82304203735582,144.97888733994435,"{""coordinates"": [[144.97926520498146, -37.82316766160769], [144.97850947490724, -37.822916413103954]], ""type"": ""LineString""}",1963-01-01,1151811,NA,1151810,1136031,0,3.86563075640709,City of Melbourne,375,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,72.14447134800679,63
"-37.802006556814845, 144.96004270497951",-37.802006556814845,144.96004270497951,"{""coordinates"": [[144.95968280490638, -37.80196768210504], [144.96040260505262, -37.802045431524654]], ""type"": ""LineString""}",1924-01-01,1149569,NA,1149570,1129248,0,2.82225848693051,City of Melbourne,450,Earthenware,0,Earthenware,NA,Both connections recorded,63.97610533816756,102
"-37.82167149876173, 144.9448778859594",-37.82167149876173,144.9448778859594,"{""coordinates"": [[144.9446759278549, -37.82165704013833], [144.9450798440639, -37.821685957385135]], ""type"": ""LineString""}",1910-01-01,1363672,NA,1363673,1451527,0,2.71969817996732,City of Melbourne,450,Concrete,0,NA,NA,Both connections recorded,35.707235343869236,116
"-37.80578365987617, 144.95617846041839",-37.80578365987617,144.95617846041839,"{""coordinates"": [[144.9561834999908, -37.805755380577814], [144.95617342084597, -37.805811939174525]], ""type"": ""LineString""}",1922-01-01,1149534,NA,1143854,1129169,0,2.77467206734241,City of Melbourne,225,Earthenware,0,Earthenware,NA,Both connections recorded,6.340037184450486,104
"-37.790336207060705, 144.9239565580785",-37.790336207060705,144.9239565580785,"{""coordinates"": [[144.92398150715778, -37.79032121786766], [144.9239316089992, -37.790351196253745]], ""type"": ""LineString""}",1928-01-01,1151747,NA,1144894,1135834,0,2.91749384555286,City of Melbourne,375,Earthenware,0,Earthenware,NA,Both connections recorded,5.512582824419434,98
"-37.806569188916285, 144.96522179050226",-37.806569188916285,144.96522179050226,"{""coordinates"": [[144.96522370118407, -37.806556457208444], [144.9652198798204, -37.80658192062412]], ""type"": ""LineString""}",1973-01-01,1151742,NA,1151741,1135811,0,4.00086577244525,City of Melbourne,300,Concrete,0,RCP up to 375 Diameter,NA,Both connections recorded,2.8462203029832764,53
"-37.821006147844344, 144.9472186207386",-37.821006147844344,144.9472186207386,"{""coordinates"": [[144.94721400186955, -37.820979649888336], [144.94722323960764, -37.82103264580036]], ""type"": ""LineString""}",1946-01-01,NA,NA,NA,1451649,0,3.4980765123845,City of Melbourne,600,Concrete,0,NA,NA,Both connections missing,5.938145129063987,80
